------------------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                               CPU time        CUDA time            Calls        CPU total       CUDA total
------------------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
SqueezeBackward1                                   12.337us          5.127us                1         12.337us          5.127us
unsqueeze                                           6.683us          1.709us                1          6.683us          1.709us
UnsafeViewBackward                                 11.309us          5.371us                1         11.309us          5.371us
view                                                6.683us          1.709us                1          6.683us          1.709us
BmmBackward                                        50.377us       3302.490us                1         50.377us       3302.490us
transpose                                           3.084us          1.709us                1          3.084us          1.709us
bmm                                                22.105us       1637.695us                1         22.105us       1637.695us
transpose                                           2.570us          1.709us                1          2.570us          1.709us
bmm                                                 8.225us       1652.344us                1          8.225us       1652.344us
ViewBackward                                        7.711us          5.371us                1          7.711us          5.371us
view                                                4.113us          1.953us                1          4.113us          1.953us
ExpandBackward                                    331.565us          1.709us                1        331.565us          1.709us
ViewBackward                                       10.281us          5.127us                1         10.281us          5.127us
view                                                6.169us          1.709us                1          6.169us          1.709us
ExpandBackward                                      2.056us          1.953us                1          2.056us          1.953us
UnsafeViewBackward                                  6.169us          5.615us                1          6.169us          5.615us
view                                                3.084us          1.953us                1          3.084us          1.953us
BmmBackward                                      2143.612us       5684.570us                1       2143.612us       5684.570us
transpose                                           2.570us          1.709us                1          2.570us          1.709us
bmm                                              2113.282us       1761.963us                1       2113.282us       1761.963us
transpose                                           4.112us          1.709us                1          4.112us          1.709us
bmm                                                11.309us       3910.156us                1         11.309us       3910.156us
ViewBackward                                        8.739us          5.371us                1          8.739us          5.371us
view                                                4.626us          1.709us                1          4.626us          1.709us
ExpandBackward                                      1.542us          1.709us                1          1.542us          1.709us
ViewBackward                                        6.169us          5.371us                1          6.169us          5.371us
view                                                3.085us          1.709us                1          3.085us          1.709us
ExpandBackward                                      2.056us          1.709us                1          2.056us          1.709us
TransposeBackward                                 415.357us          5.127us                1        415.357us          5.127us
transpose                                           7.711us          1.709us                1          7.711us          1.709us
add                                                14.393us         67.383us                1         14.393us         67.383us
MulBackward1                                       24.161us       2849.854us                1         24.161us       2849.854us
mul                                                14.908us       2846.436us                1         14.908us       2846.436us
ExpandBackward                                   1709.234us       4235.840us                1       1709.234us       4235.840us
sum                                              1702.552us       4232.178us                1       1702.552us       4232.178us
_sum                                             1356.079us       4228.516us                1       1356.079us       4228.516us
UnsqueezeBackward                                   8.739us          5.127us                1          8.739us          5.127us
squeeze                                             5.141us          1.709us                1          5.141us          1.709us
LogBackward                                        15.422us         68.848us                1         15.422us         68.848us
div                                                10.795us         65.186us                1         10.795us         65.186us
AddBackward0                                        1.543us          1.709us                1          1.543us          1.709us
ExpBackward                                        17.478us         54.932us                1         17.478us         54.932us
mul                                                 9.253us         51.514us                1          9.253us         51.514us
UnsqueezeBackward                                   6.169us          5.615us                1          6.169us          5.615us
squeeze                                             3.085us          1.709us                1          3.085us          1.709us
SubBackward1                                       23.647us         69.824us                1         23.647us         69.824us
neg                                                 7.711us         44.678us                1          7.711us         44.678us
mul                                                 7.711us         19.775us                1          7.711us         19.775us
AddBackward1                                        2.056us          1.709us                1          2.056us          1.709us
MulBackward1                                       11.824us         75.928us                1         11.824us         75.928us
mul                                                 7.197us         72.510us                1          7.197us         72.510us
ExpandBackward                                     15.422us         93.506us                1         15.422us         93.506us
sum                                                12.852us         90.088us                1         12.852us         90.088us
_sum                                                8.739us         86.426us                1          8.739us         86.426us
ViewBackward                                        8.739us          5.371us                1          8.739us          5.371us
view                                                5.141us          1.953us                1          5.141us          1.953us
EmbeddingBackward                               17643.930us       3055.420us                1      17643.930us       3055.420us
embedding_backward                              17636.732us       3052.002us                1      17636.732us       3052.002us
embedding_dense_backward                        17631.078us       3048.340us                1      17631.078us       3048.340us
struct torch::autograd::AccumulateGrad             22.104us         10.010us                1         22.104us         10.010us
clone                                              14.394us          6.592us                1         14.394us          6.592us
ViewBackward                                       11.309us          5.371us                1         11.309us          5.371us
view                                                5.141us          1.709us                1          5.141us          1.709us
EmbeddingBackward                                 491.437us        504.395us                1        491.437us        504.395us
embedding_backward                                487.839us        500.977us                1        487.839us        500.977us
embedding_dense_backward                          484.240us        497.314us                1        484.240us        497.314us
ViewBackward                                        7.711us          5.371us                1          7.711us          5.371us
view                                                4.627us          1.709us                1          4.627us          1.709us
EmbeddingBackward                                 301.751us        352.539us                1        301.751us        352.539us
embedding_backward                                298.152us        348.877us                1        298.152us        348.877us
embedding_dense_backward                          294.554us        345.459us                1        294.554us        345.459us
struct torch::autograd::AccumulateGrad             13.880us         15.869us                1         13.880us         15.869us
clone                                              10.281us         12.451us                1         10.281us         12.451us
ViewBackward                                        7.711us          5.371us                1          7.711us          5.371us
